nutrient,accuracy,trainingRegime,repeat,model type
tn,0.5280948921750224,catchmentChars,81,RFR
tp,0.3240380366818581,catchmentChars,81,RFR
random,0.0423668287536982,catchmentChars,81,RFR
doc,0.1703999047329885,catchmentChars,82,RFR
no3,0.4375771182289772,catchmentChars,82,RFR
tn,0.5141344082792041,catchmentChars,82,RFR
tp,0.3384706603412141,catchmentChars,82,RFR
random,0.0186881820257764,catchmentChars,82,RFR
doc,0.1976340397846835,catchmentChars,83,RFR
no3,0.4334002439301476,catchmentChars,83,RFR
tn,0.5326733160409638,catchmentChars,83,RFR
tp,0.3344819171014371,catchmentChars,83,RFR
random,0.0120236441726094,catchmentChars,83,RFR
doc,0.138254357664323,catchmentChars,84,RFR
no3,0.4138161219612724,catchmentChars,84,RFR
tn,0.5277910624533102,catchmentChars,84,RFR
tp,0.320777742149322,catchmentChars,84,RFR
random,0.0211034360858722,catchmentChars,84,RFR
doc,0.1597730639988608,catchmentChars,85,RFR
no3,0.454307796872486,catchmentChars,85,RFR
tn,0.5329606074616469,catchmentChars,85,RFR
tp,0.3555853045387934,catchmentChars,85,RFR
random,0.0068928617339765,catchmentChars,85,RFR
doc,0.1676679460412273,catchmentChars,86,RFR
no3,0.4439391241725673,catchmentChars,86,RFR
tn,0.5329986443185086,catchmentChars,86,RFR
tp,0.3320189872750539,catchmentChars,86,RFR
random,0.0194876836733194,catchmentChars,86,RFR
doc,0.1164113766535963,catchmentChars,87,RFR
no3,0.439514739007634,catchmentChars,87,RFR
tn,0.5054572797445899,catchmentChars,87,RFR
tp,0.3570192507399737,catchmentChars,87,RFR
random,0.0058194788405194,catchmentChars,87,RFR
doc,0.1602071139648109,catchmentChars,88,RFR
no3,0.4508556327937425,catchmentChars,88,RFR
tn,0.5160991467696019,catchmentChars,88,RFR
tp,0.3279228701086725,catchmentChars,88,RFR
random,-0.0025084582446801,catchmentChars,88,RFR
doc,0.1533747893651534,catchmentChars,89,RFR
no3,0.4597263480848553,catchmentChars,89,RFR
tn,0.5322361089377168,catchmentChars,89,RFR
tp,0.3387574297874974,catchmentChars,89,RFR
random,0.0193339533688754,catchmentChars,89,RFR
doc,0.1601809419320636,catchmentChars,90,RFR
no3,0.4588332609343476,catchmentChars,90,RFR
tn,0.5293871945732602,catchmentChars,90,RFR
tp,0.3301941322305253,catchmentChars,90,RFR
random,0.0207017121343482,catchmentChars,90,RFR
doc,0.1304397302937866,catchmentChars,91,RFR
no3,0.4595056245077855,catchmentChars,91,RFR
tn,0.5182281230837391,catchmentChars,91,RFR
tp,0.3364169438187988,catchmentChars,91,RFR
random,0.0111350687381502,catchmentChars,91,RFR
doc,0.1587252008128535,catchmentChars,92,RFR
no3,0.4511185479678478,catchmentChars,92,RFR
tn,0.5401448623445486,catchmentChars,92,RFR
tp,0.3424105041625874,catchmentChars,92,RFR
random,0.0079936256120554,catchmentChars,92,RFR
doc,0.2001852983468706,catchmentChars,93,RFR
no3,0.4526894426979545,catchmentChars,93,RFR
tn,0.5166776569133444,catchmentChars,93,RFR
tp,0.339910461115597,catchmentChars,93,RFR
random,0.0451243251662896,catchmentChars,93,RFR
doc,0.1388686967167479,catchmentChars,94,RFR
no3,0.4513367183307503,catchmentChars,94,RFR
tn,0.5297301972515146,catchmentChars,94,RFR
tp,0.339206990241866,catchmentChars,94,RFR
random,0.0250503155254245,catchmentChars,94,RFR
doc,0.0928418655187974,catchmentChars,95,RFR
no3,0.4609056449755747,catchmentChars,95,RFR
tn,0.5228712909313638,catchmentChars,95,RFR
tp,0.320795340181236,catchmentChars,95,RFR
random,0.0316202485834071,catchmentChars,95,RFR
doc,0.1241103353638395,catchmentChars,96,RFR
no3,0.4287228574277817,catchmentChars,96,RFR
tn,0.524170983633738,catchmentChars,96,RFR
tp,0.3424046094768984,catchmentChars,96,RFR
random,0.0129718508902439,catchmentChars,96,RFR
doc,0.1598443363377336,catchmentChars,97,RFR
no3,0.4300877142385866,catchmentChars,97,RFR
tn,0.5341131868467025,catchmentChars,97,RFR
tp,0.3688958604937395,catchmentChars,97,RFR
random,-0.0140330032539439,catchmentChars,97,RFR
doc,0.1392990806773408,catchmentChars,98,RFR
no3,0.4615894073061205,catchmentChars,98,RFR
tn,0.5215673406751511,catchmentChars,98,RFR
tp,0.3328744240095659,catchmentChars,98,RFR
random,0.0070071387481024,catchmentChars,98,RFR
doc,0.1652917781525115,catchmentChars,99,RFR
no3,0.4376903901281788,catchmentChars,99,RFR
tn,0.5309343476750243,catchmentChars,99,RFR
tp,0.3359093293094159,catchmentChars,99,RFR
random,0.0214452016176375,catchmentChars,99,RFR
doc,0.0830591647723427,catchmentChars,100,GBR
no3,0.4052925290099611,catchmentChars,100,GBR
tn,0.541414079577234,catchmentChars,100,GBR
tp,0.3339324970126522,catchmentChars,100,GBR
random,0.0133343212597121,catchmentChars,100,GBR
doc,0.0785622280598949,catchmentChars,101,GBR
no3,0.3946938495348122,catchmentChars,101,GBR
tn,0.5435364312682143,catchmentChars,101,GBR
tp,0.3302900097969098,catchmentChars,101,GBR
random,0.0184893470548362,catchmentChars,101,GBR
doc,0.0986017653683501,catchmentChars,102,GBR
no3,0.3980722879366417,catchmentChars,102,GBR
tn,0.5412717172518606,catchmentChars,102,GBR
tp,0.3348055097533717,catchmentChars,102,GBR
random,0.0187713791440913,catchmentChars,102,GBR
doc,0.0775468589846363,catchmentChars,103,GBR
no3,0.3956926660491376,catchmentChars,103,GBR
tn,0.5428448624683465,catchmentChars,103,GBR
tp,0.3331421722037782,catchmentChars,103,GBR
random,0.0039570595715311,catchmentChars,103,GBR
doc,0.0803447815658064,catchmentChars,104,GBR
no3,0.4058321671893742,catchmentChars,104,GBR
tn,0.5457636804682975,catchmentChars,104,GBR
tp,0.3331612167736532,catchmentChars,104,GBR
random,0.0207158548465588,catchmentChars,104,GBR
doc,0.0749900434994784,catchmentChars,105,GBR
no3,0.4037674943501843,catchmentChars,105,GBR
tn,0.5490397266663096,catchmentChars,105,GBR
tp,0.3305042411050397,catchmentChars,105,GBR
random,0.0180484530569403,catchmentChars,105,GBR
doc,0.0721570178905453,catchmentChars,106,GBR
no3,0.4049255065097799,catchmentChars,106,GBR
tn,0.5434866264265135,catchmentChars,106,GBR
tp,0.3326725772144826,catchmentChars,106,GBR
random,0.0135195063169315,catchmentChars,106,GBR
doc,0.0754029916466222,catchmentChars,107,GBR
no3,0.4025740379089335,catchmentChars,107,GBR
tn,0.5488357603575956,catchmentChars,107,GBR
tp,0.3318823896906107,catchmentChars,107,GBR
random,0.0169729772334101,catchmentChars,107,GBR
doc,0.0761545448804124,catchmentChars,108,GBR
no3,0.3962542605423917,catchmentChars,108,GBR
tn,0.5433324649595002,catchmentChars,108,GBR
tp,0.3354253607610227,catchmentChars,108,GBR
random,-0.0008038436939188,catchmentChars,108,GBR
doc,0.0747208906783908,catchmentChars,109,GBR
no3,0.403780265608557,catchmentChars,109,GBR
tn,0.5420147047622743,catchmentChars,109,GBR
tp,0.330068708309997,catchmentChars,109,GBR
random,0.0188762019303923,catchmentChars,109,GBR
doc,0.0828598861332972,catchmentChars,110,GBR
no3,0.4094704292326592,catchmentChars,110,GBR
tn,0.5433712392467818,catchmentChars,110,GBR
tp,0.3342210932597709,catchmentChars,110,GBR
random,0.0259178056244439,catchmentChars,110,GBR
doc,0.0790166741564293,catchmentChars,111,GBR
